algorithm,distribution,N,U,time_ms,throughput_mkeys_per_s,speedup_vs_std_sort,correct,best_run_index
std::sort,uniform,1000000,1024,271.084,3.689,1.000,OK,4
std::stable_sort,uniform,1000000,1024,345.120,2.898,0.785,OK,0
DialSort-Counting,skewed,1000000,1024,11.296,88.531,23.530,OK,6
DialSort-Parallel,skewed,1000000,1024,8.889,112.501,29.901,OK,4
std::sort,skewed,1000000,1024,265.785,3.762,1.000,OK,4
std::stable_sort,skewed,1000000,1024,324.257,3.084,0.820,OK,3
DialSort-Counting,sorted,1000000,1024,11.340,88.185,15.924,OK,6
DialSort-Parallel,sorted,1000000,1024,8.682,115.186,20.800,OK,0
std::sort,sorted,1000000,1024,180.580,5.538,1.000,OK,6
std::stable_sort,sorted,1000000,1024,163.549,6.114,1.104,OK,3
DialSort-Counting,reverse,1000000,1024,11.358,88.047,16.002,OK,1
DialSort-Parallel,reverse,1000000,1024,9.407,106.299,19.320,OK,2
std::sort,reverse,1000000,1024,181.749,5.502,1.000,OK,4
std::stable_sort,reverse,1000000,1024,162.433,6.156,1.119,OK,1
DialSort-Counting,uniform,1000000,65536,13.659,73.210,22.376,OK,3
DialSort-Parallel,uniform,1000000,65536,14.547,68.744,21.011,OK,5
std::sort,uniform,1000000,65536,305.637,3.272,1.000,OK,4
std::stable_sort,uniform,1000000,65536,379.227,2.637,0.806,OK,1
DialSort-Counting,skewed,1000000,65536,13.036,76.708,21.725,OK,5
DialSort-Parallel,skewed,1000000,65536,13.922,71.830,20.343,OK,0
std::sort,skewed,1000000,65536,283.215,3.531,1.000,OK,4
std::stable_sort,skewed,1000000,65536,360.219,2.776,0.786,OK,1
DialSort-Counting,sorted,1000000,65536,13.721,72.882,11.399,OK,6
DialSort-Parallel,sorted,1000000,65536,14.765,67.726,10.593,OK,2
std::sort,sorted,1000000,65536,156.404,6.394,1.000,OK,0
std::stable_sort,sorted,1000000,65536,168.005,5.952,0.931,OK,5
DialSort-Counting,reverse,1000000,65536,15.116,66.154,11.024,OK,6
DialSort-Parallel,reverse,1000000,65536,16.838,59.389,9.896,OK,3
std::sort,reverse,1000000,65536,166.637,6.001,1.000,OK,1
std::stable_sort,reverse,1000000,65536,182.855,5.469,0.911,OK,4
DialSort-Counting,uniform,10000000,256,115.846,86.322,27.439,OK,1
DialSort-Parallel,uniform,10000000,256,89.365,111.900,35.569,OK,2
std::sort,uniform,10000000,256,3178.638,3.146,1.000,OK,3
std::stable_sort,uniform,10000000,256,3767.188,2.654,0.844,OK,6
DialSort-Counting,skewed,10000000,256,114.087,87.652,28.714,OK,5
DialSort-Parallel,skewed,10000000,256,86.273,115.912,37.972,OK,2
std::sort,skewed,10000000,256,3275.946,3.053,1.000,OK,3
std::stable_sort,skewed,10000000,256,3556.240,2.812,0.921,OK,2
DialSort-Counting,sorted,10000000,256,114.736,87.157,21.524,OK,2
DialSort-Parallel,sorted,10000000,256,88.742,112.686,27.829,OK,6
std::sort,sorted,10000000,256,2469.603,4.049,1.000,OK,2
std::stable_sort,sorted,10000000,256,1809.645,5.526,1.365,OK,1
DialSort-Counting,reverse,10000000,256,161.541,61.904,15.844,OK,3
DialSort-Parallel,reverse,10000000,256,100.595,99.409,25.443,OK,0
std::sort,reverse,10000000,256,2559.469,3.907,1.000,OK,5
std::stable_sort,reverse,10000000,256,1995.323,5.012,1.283,OK,2
DialSort-Counting,uniform,10000000,1024,114.185,87.577,30.255,OK,0
DialSort-Parallel,uniform,10000000,1024,86.866,115.120,39.770,OK,4
std::sort,uniform,10000000,1024,3454.697,2.895,1.000,OK,3
std::stable_sort,uniform,10000000,1024,3812.380,2.623,0.906,OK,4
DialSort-Counting,skewed,10000000,1024,124.140,80.554,26.951,OK,0
DialSort-Parallel,skewed,10000000,1024,113.297,88.264,29.530,OK,4
std::sort,skewed,10000000,1024,3345.686,2.989,1.000,OK,2
std::stable_sort,skewed,10000000,1024,3954.546,2.529,0.846,OK,4
DialSort-Counting,sorted,10000000,1024,142.484,70.183,18.030,OK,0
DialSort-Parallel,sorted,10000000,1024,103.254,96.848,24.880,OK,3
std::sort,sorted,10000000,1024,2568.963,3.893,1.000,OK,5
std::stable_sort,sorted,10000000,1024,1850.677,5.403,1.388,OK,1
DialSort-Counting,reverse,10000000,1024,129.876,76.996,21.768,OK,0
DialSort-Parallel,reverse,10000000,1024,109.018,91.728,25.932,OK,0
std::sort,reverse,10000000,1024,2827.104,3.537,1.000,OK,6
std::stable_sort,reverse,10000000,1024,2279.857,4.386,1.240,OK,3
DialSort-Counting,uniform,10000000,65536,133.627,74.835,27.725,OK,6
DialSort-Parallel,uniform,10000000,65536,101.815,98.217,36.388,OK,0
std::sort,uniform,10000000,65536,3704.830,2.699,1.000,OK,5
std::stable_sort,uniform,10000000,65536,4488.493,2.228,0.825,OK,0
DialSort-Counting,skewed,10000000,65536,125.266,79.830,27.653,OK,5
DialSort-Parallel,skewed,10000000,65536,98.167,101.868,35.287,OK,5
std::sort,skewed,10000000,65536,3464.033,2.887,1.000,OK,5
